feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content
1,2,Cassava (Manihot esculenta) - crop residue,16.1,10,19.94
2,4,Maize (Zea mays) - cracked grains,87.2,13.5,9.7
3,4,Maize (Zea mays) -stover residue,87,9.13,5.9
4,5,Naturally occuring pasture - grazing,60,5,6
5,5,Naturally occuring pasture - green fodder,60,5,6
6,6,Rice (Oryza sativa) - straw,92.8,5.8,4.2
7,7,Sugarcane (Saccharum officinarum) - crop residue,26.8,8,4.9
8,1,Banana trunk,6.9,9.9,3.5
9,3,Elephant grass,17.9,8.2,9.7
10,8,Taro leaves,8.05,14.5,16.5
