feed_item_code,crop_code ,feed_item_name,dm_content,me_content,cp_content
1,11,Concentrate (commercial),90,12.1,16
2,2,Guatemala grass (Tripsacum andersonii) - forage,22,8.2,5.5
3,3,Leucaena (Leucaena leucocephala) - forage,26.2,9.5,19.93
4,4,Local mixed grasses (couch/star grass) - green fodder,30.2,10,3.02
5,7,Maize (Zea mays) - stover,87,6.9,3.9
6,1,Musa spp.,5.7,8.54,10.5
7,8,Naturally occurring pasture – Kilimanjaro region,31.9,6.97,4.83
8,9,Naturally occurring pasture – Tanga highland and lowland,29.05,6.55,7.5
9,10,Pennisetum purpureum - forage,15,9.88,11
10,12,Rice (Oryza sativa) - straw,92.8,5.8,3.85
