feed_type_code,feed_item_code,feed_item_name,dm_content,me_content,cp_content,de,,
1,1,Andropogon gayanus (forage),27.8,7.1,6.254794521,0.4686,,
34,2,Banana (fruit),22,12.3,5.2,0.8118,,
34,3,Banana leaves,16,10,9.5,0.66,,
21,4,Barley (forage),34,8.69,4.5,0.57354,,
23,5,Barley (grains) IP,87.1,12.4,11.8,0.8184,,
22,6,Barley (grains) OFC,87.1,12.4,11.8,0.8184,,
22,7,Barley (straw),87,5.88,0.3,0.38808,,
11,8,Bermuda grass (Cynodon dactylon) - forage,30.3,9.671508,12.6,0.638319528,,
11,9,Bermuda grass (Cynodon dactylon) - hay,93,7.410636,7.6,0.489101976,,
50,10,Berseem clover,11,12.39,26,0.81774,,
5,11,Brachiaria brizantha (forage),26,7.254794521,7.254794521,0.478816438,,
6,12,Brachiaria hybrid (forage),26,7.254794521,8.254794521,0.478816438,,
7,13,Canavalia brasiliensis (forage),30,12.1,22,0.7986,,
8,14,Cassava (Manihot esculenta) - crop residue,16.1,10.006452,19.94,0.660425832,,
8,15,Cassava (Manihot esculenta) - fresh peelings,27.9,4.3124,5.45,0.2846184,,
8,16,Cassava (Manihot esculenta) - tubers,88.84,10.76,1.81,0.71016,,
43,17,Concentrate (commercial),90,12.1,16,0.7986,,
9,18,Cowpea (Vigna unguiculata) - crop residue,90,9.880848,18.4,0.652135968,,
9,19,Cowpea (Vigna unguiculata) - forage,12.28,10.45,20.56,0.6897,,
9,20,Cowpea (Vigna unguiculata) - grain,89.83,13.21,23.88,0.87186,,
9,21,Cowpea (Vigna unguiculata) - meal,90.17,14,22.53,0.924,,
10,22,Cratylia argentea (forage),30,9.4,24,0.6204,,
11,23,Cynodon nlemfuensis (forage),30.3,9.671508,12.6,0.638319528,,
12,24,Dichanthium aristatum (forage),33,7.25,8,0.4785,,
49,25,Digitaria swazilandensis (forage),24,9.7,9.9,0.6402,,
54,26,Fava bean (grain),86.6,13.3,29,0.8778,,
54,27,Fava bean (straw),89.7,6.4,7.4,0.4224,,
15,28,Gliricidia sepium (forage),30,11.5,22.3,0.759,,
17,29,Groundnut (Arachis hypogaea) - crop residue,89.53,7.99,6.52,0.52734,,
17,30,Groundnut (Arachis hypogaea) - Kernel,92.7,21.1852,33.2,1.3982232,,
17,31,Groundnut (Arachis hypogaea) - seed hulls,93.12,6.56,16.29,0.43296,,
19,32,Guazuma ulmifolia (forage),30,11,15,0.726,,
24,33,Hyparrhenia rufa  (forage),26,6.129315068,6,0.404534795,,
25,34,Ischaemum ciliare  (forage),24,6.003835616,6,0.396253151,,
28,35,Italian ryegrass (forage),19,8.7,7,0.5742,,
28,36,Italian ryegrass (hay),85,8.36,6.01,0.55176,,
28,37,Italian ryegrass (silage),33.5,9.07,5.3,0.59862,,
26,38,Lablab (Lablab purpureus) - forage,18.3,11.43,22.94,0.75438,,
26,39,Lablab (Lablab purpureus) - hay,90,9.29,16.6,0.61314,,
26,40,Lablab (Lablab purpureus) - silage,27.83,7.44,17.51,0.49104,,
27,41,Leucaena (Leucaena leucocephala) - forage,26.2,9.5,19.93,0.627,,
32,42,Lucerne (Medicago sativa) - forage,21,10.08,19.7,0.66528,,
32,43,Lucerne (Medicago sativa) - hay,85,8.36,12.5,0.55176,,
32,44,Lucerne (Medicago sativa) - silage,44.1,9.545904,19.5,0.630029664,,
57,45,Lupins (Lupinus angustifolius) - crop residue,93.85,5.57,6.44,0.36762,,
57,46,Lupins (Lupinus angustifolius) - grain,90,19,30,1.254,,
57,47,Lupins (Lupinus angustifolius) - pods,91.89,7.36,5.54,0.48576,,
43,48,Maize (Zea mays) - bought stover,87,9.127224,5.9,0.602396784,,
29,49,Maize (Zea mays) - cobs ground,90.1,7.578108,2.8,0.500155128,,
30,50,Maize (Zea mays) - cracked grains IP,89,13.020948,10,0.859382568,,
29,51,Maize (Zea mays) - forage,82,10.215792,8.9,0.674242272,,
31,52,Maize (Zea mays) - silage,30,10.79,4.4,0.71214,,
29,53,Maize (Zea mays) - stover,87,9.127224,5.9,0.602396784,,
29,54,Maize (Zea mays) - whole grain,90,15,9,0.99,,
33,55,Moringa oleifera (forage),26.2,10.6,24.3,0.6996,,
58,56,Mucuna (Mucuna pruriens) - forage,20.967,10.8,15.77,0.7128,,
58,57,Mucuna (Mucuna pruriens) - green fodder,20.967,10.8,15.77,0.7128,,
58,58,Mucuna (Mucuna pruriens) - hay,90.6,10.89,14.8,0.71874,,
58,59,Mucuna (Mucuna pruriens) - seed,92.37,14.193,27.3,0.936738,,
59,60,Mulberry (Morus alba),28.4,10,19.4,0.66,,
35,61,N/A,0,0,0,0,,
36,62,Naturally occuring pasture - grazing,60,5,6,0.33,,
36,63,Naturally occuring pasture - grazing OFR,60,5,6,0.33,,
36,64,Naturally occuring pasture - green fodder,60,5,6,0.33,,
2,65,Oats (Avena sativa) - grain IP,89,12.267324,13.6,0.809643384,,
3,66,Oats (Avena sativa) - green fodder,31,8.36,4,0.55176,,
3,67,Oats (Avena sativa) - hay,85,7.48,3.5,0.49368,,
3,68,Oats (Avena sativa) - hay OFR,85,7.48,3.5,0.49368,,
2,69,Oats (Avena sativa) - hulls,92.4,5.317236,4.1,0.350937576,,
