feed_type_code,feed_type_name,dry_yield,residue_dry_yield,main_n,residue_n,c_factor,kc_initial,kc_midseason,kc_late,n_fixation,category,trees_ha,trees_dhb,trees_growth,trees_removal,trees_ha_dbh25,average_dbh25,increase_dbh25,trees_ha_dbh2550,average_dbh2550,increase_dbh2550,trees_ha_dbh50,average_dbh50,increase_dbh50,time_horizon,diameter_breast
1,Andropogon gayanus,8.882191781,0,0.0104,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Avena sativa,0.352,2.64,0.0176,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Avena sativa-forage,9.1,0,0.016,0,0,0.1,1.1,0.55,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Beta vulgaris,10.45,2.75,0.0125,0,0,0.72,1.04,0.7,0,herbaceous plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brachiaria brizantha,15.64657534,0,0.0176,0,0,0.6,1.1,1.05,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Brachiaria hybrid,13.76438356,0,0.0224,0,0,0.6,1.1,1.05,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Canavalia brasiliensis,4,0,0.0352,0,0,0.15,1.1,0.25,70.4,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Cassava,5.04,5.04,0.004,0,0.05,0,0,0,0,tree shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Cowpea,0.85405,2.967413131,0.038,0,0.117,0.15,1.05,0.6,50.35220101,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Cratylia,12,0,0.0384,0,0,1.05,1.1,1.1,230.4,tree legume,400,18,2,0,0,0,0,0,0,0,0,0,0,0,0
11,Cynodon nlemfuensis,10,0,0.02,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Dichanthium aristatum,10,0,0.0128,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Fodder maize,1.064,1.344259298,0.017,0,0.05,0.15,1.15,0.3,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Fustuca arundinacea,12.6,0,0.014,0,0,0.3,0.75,0.75,0,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
