feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content
1,2,Brachiaria hybrid (forage),26,7,9
2,3,Calliandra calothyrsus - green leaf material,39,7.68,22
3,1,Common Beans (Phaseolus vulgaris) - vines,90,8.33,7.62
4,9,Dairy meal,90,10.5,16
5,4,Desmodium ( Desmodium intortum ) green leaf,24.2,8.2,15.5
6,13,Desmodium (wild desmodium),19.36,6.56,12.4
7,5,Leucaena (Leucaena leucocephala) - green fodder,26.2,9.5,19.93
8,6,Local mixed grasses (couch/star grass) - green fodder,30.2,10,8.8
9,7,Maize (Zea mays) - green fodder,82,10.22,8.9
10,7,Maize (Zea mays) -BOUGHT stover,87,9.13,5.9
11,8,Napier grass (Pennisetum purpureum) - green fodder,15,9.88,11
12,10,Sesbania (Sesbania sesban) - green fodder,28.9,8.54,21.3
13,11,Sugarcane (Saccharum officinarum) - BOUGHT,29,6.9,5.9
14,11,Sugarcane (Saccharum officinarum) - tops (green fodder),29,6.9,5.9
15,12,Sweet potato (Ipomoea batatas) - vines,10.8,10.01,19.4
