feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content
1,1,Amaranthus – local,13.9,5.93,24.3
2,12,Banana leaves,16.03,10,6.84
3,12,banana Peel – cooked,17.9,13.8,8.4
4,8,Barley (grains) IP,87.1,12.4,11.04
5,8,Barley (straw),90.9,6.5,3.8
6,3,Brachiaria hybrid,90,7.254794521,13
7,4,Cassava (Manihot esculenta) residue ,87.4,13.2,5.2
8,5,Centrosema,90,9.3,18.9
9,6,Cocoyam leaf,11.4,8.64,24.3
10,16,Concentrate (commercial),90,12.1,16
11,7,Groundnut (Arachis hypogaea) - seed hulls,93.12,6.56,15.92
12,9,Lablab (Lablab purpureus) - forage,18.3,11.43,16.69
13,11,Lucerne (Medicago sativa) - hay,85,8.36,11.56
14,10,Maize (Zea mays) - forage,36.9,10.22,7.02
15,16,Maize bran,90.9,13.1,11.3
16,14,Naturally occuring pasture - Nakasongola district,60,7.75,4.89
17,13,"Naturally occurring pasture - green fodder- Mpigi, Mukono, and Masaka districts",29.05,6.55,7.5
18,2,Oats (Avena sativa) - hulls,92.4,5.32,4
19,15,Pennisetum purpureum - forage,15,9.88,7.88
20,17,Sweet potato (Ipomoea batatas) - vines,10.8,10.01,19.4
