feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content
1,1,Andropogon gayanus (forage),27.8,7.1,6.25
2,17,Banana (fruit),22,12.3,5.2
3,17,Banana leaves,16,10,9.5
4,4,Brachiaria brizantha (forage),26,7.25,7.25
5,5,Brachiaria decumbens,26.8,7.7,7
6,6,Brachiaria hybrid (forage),26,7.25,8.25
7,7,Cenchrus clandestinus,20,9.7,15
8,8,Cocksfoot,20.7,9.5,16.3
9,24,Concentrates,90,12.1,16
10,9,Echinochloa polystachya,16.7,8.8,10.6
11,2,Forage peanut,21.4,9.3,20
12,10,Gliricidia sepium (forage),30,11.5,22.3
13,3,Gramalote,15.8,9.1,8
14,12,Italian ryegrass (forage),19,8.7,7
15,11,Leucaena (Leucaena leucocephala) - forage,26.2,9.5,19.93
16,15,Lucerne (Medicago sativa) - forage,21,10.08,19.7
17,13,Maize (Zea mays) - forage,82,10.22,8.9
18,14,Maize (Zea mays) - silage,30,10.79,4.4
19,13,Maize (Zea mays) - stover,87,9.13,5.9
20,16,Mulberry (Morus alba),28.4,10,19.4
21,27,Nacedero,17.5,5.3,17.9
22,18,Naturally occuring pasture - grazing,60,5,6
23,19,Panicum maximum (forage),26,7.54,9.88
24,20,Paspalum notatum (forage),28,7.54,8.25
25,21,Pennisetum purpureum - forage,15,9.88,11
26,22,Pennisetum purpureum - silage,19.5,7.5,6.5
27,25,Rain tree (pods),83.1,12.1,16.6
28,23,Ribwort plantain,15.7,10.9,20
29,25,Sambucus peruviana,20,11.34,14.2
30,24,Sugarcane (Saccharum officinarum) - molasses,74.3,10.89,5.8
31,24,Sugarcane (Saccharum officinarum) - molasses,74.3,10.89,5.8
32,28,Trifolium repens,16.8,11.1,24.9
