feed_item_code,crop_code ,feed_item_name,dm_content,me_content,cp_content
1,1,Aftermath grazing,90,7.38,5
2,2,Banana waste,22,8.66,9.5
3,3,Barley (Hordeum vulgare) straw,88,7.2,4.1
4,12,Concentrate (commercial),90,12.1,16
5,4,Cowpea (Vigna unguiculata) - crop residue,90,9.88,18.4
6,6,faba bean (vicia faba),92.2,8.3,6.8
7,5,False banana waste,22,8.66,9.5
8,5,False banana waste (Ensete ventricosum) - leave & stem,91,10.8,3.5
9,8,Lentils (Lens esculenta),90,7.9,6.9
10,10,Natural occuring pasture hay,89,10,5
11,9,Natural pasture (grazing) -bonga,30,5,4.5
12,9,Naturally occuring pasture - grazing,53,5,6
13,11,Oats (Avena sativa) - straw,90,6.7,4.4
14,13,Sorghum (Sorghum bicolor) - crop residue,85,7.03,4.9
15,14,wheat straw,89,6.8,4.2
