feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content
1,1,Andropogon gayanus (forage),27.8,7.1,6.254794521
2,2,Brachiaria brizantha (forage),26,7.254794521,10.4
3,3,Brachiaria decumbens,26.8,7.7,8.9
4,4,Brachiaria decumbens,83.8,6.6,5.2
5,5,Brachiaria hybrid (forage),26,7.254794521,13
6,6,Canavalia brasiliensis (forage),30,12.1,22
7,7,Cratylia argentea (forage),30,9.4,24
8,8,Cynodon nlemfuensis (forage),30.3,9.671508,12.6
9,9,Dichanthium aristatum (forage),33,7.25,8
10,10,Gliricidia sepium (forage),30,11.5,22.3
11,11,Guazuma ulmifolia (forage),30,11,15
12,12,Hyparrhenia rufa  (forage),26,6.129315068,6
13,13,Leucaena (Leucaena leucocephala) - forage,26.2,9.5,19.93
14,14,Maize (Zea mays) - stover,87,9.127224,5.9
15,15,Maize (Zea mays) - silage,30,10.79,4.4
16,16,Mulberry (Morus alba),28.4,10,19.4
17,17,Naturally occuring pasture - grazing,25,5,6
18,17,Naturally occuring pasture - grazing OFR,25,5,6
19,18,Panicum maximum (forage),26,7.543013699,9.882191781
20,19,Paspalum notatum (forage),28,7.543013699,8.254794521
21,20,Pennisetum purpureum - forage,15,9.880848,11
24,21,Pennisetum purpureum - silage,19.5,7.5,6.5
25,22,Concentrate (commercial),90,12.1,16
26,22,Sugarcane (Saccharum officinarum) - molasses,74.3,10.88568,5.8
27,23,Tithonia diversifolia (forage),19.8,9.9,21.2
