feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content,,,,,,,,
1,1,Amaranth (Amaranthus caudatus) - forage,89.1,13.3,15.4,,,,,,,,
2,12,Bakaino (Melia azedarach) - green forage,34.8,8.1,17.1,,,,,,,,
3,18,Black gram (Vigna mungo) - straw ,85,8.3,13,,,,,,,,
4,17,Brewery grains - dehydrated,91,9.9,25.8,,,,,,,,
5,7,Buckwheat (Fagopyrum esculentum) - grain ,84.9,9.6,13.2,,,,,,,,
6,7,Buckwheat (Fagopyrum esculentum) - hulls,88,6.7,7,,,,,,,,
7,5,Chickpea (Cicer arietinum) -  grain,89,14.1,22.1,,,,,,,,
8,17,concentrates,90,12.1,16,,,,,,,,
9,9,Dabdabe (Garuga pinnata) - green forage,36.93,7.95,16,,,,,,,,
10,11,Epil-pil (Leucena leucocephala) - green forage,29.9,11,23.3,,,,,,,,
11,6,Finger millet (Eleusine coracana) - grain,89,11.8,8.9,,,,,,,,
12,2,Jai (Avena sativa) - green forage,20.6,11.1,14.8,,,,,,,,
13,8,khanayo (Ficus semicordata) - green forage,32.59,8.2,13.38,,,,,,,,
14,13,Kimbu (Morus alba) - green forage,26.3,11,15.3,,,,,,,,
15,10,Lentil (Lens culinaris) - grain,88.3,13.5,26.9,,,,,,,,
16,19,Maize (Zea mays) - stover ,92.8,6.9,3.9,,,,,,,,
17,19,Maize (Zea mays) - grain ,87.2,13.5,9.7,,,,,,,,
18,16,Napier (Pennisetum purpureum) - green forage,17.9,8.2,9.7,,,,,,,,
19,14,Naturally occurring pasture - gathered forage,60,6.55,7.5,,,,,,,,
20,14,Naturally occurring pasture - grazing,60,5,6,,,,,,,,
21,4,Rapeseed (Brassica spp.) -  hulls,87.5,10.2,16.1,,,,,,,,
22,15,Rice (Oryza sativa) - grain,88,10.1,8.3,,,,,,,,
23,15,Rice (Oryza sativa) - straw,92.8,5.8,4.2,,,,,,,,
24,3,Tanki (Bauhinia purpurea) - green forage,34.88,8,15.68,,,,,,,,
