feed_item_code,crop_code ,feed_item_name,dm_content,me_content,cp_content
1,1,Andropogon gayanus (forage),27.8,7.1,6.254794521
2,2,Brachiaria brizantha (forage),26,7.254794521,7.254794521
3,3,Brachiaria hybrid (forage),26,7.254794521,8.254794521
4,4,Caña (Saccharum officinarum) - melaza,74.3,10.88568,5.8
5,4,Canavalia brasiliensis (forage),30,12.1,22
6,15,Concentrate (commercial),90,12.1,16
7,5,Dichanthium aristatum (forage),33,7.25,8
8,6,Gliricidia sepium (forage),30,11.5,22.3
9,7,Hyparrhenia rufa  (forage),26,6.129315068,6
10,8,Ischaemum ciliare  (forage),24,6.003835616,6
11,9,Maíz (Zea mays) - rastrojo,87,9.127224,5.9
12,11,Panicum maximum (forage),26,7.543013699,9.882191781
13,12,Paspalum notatum (forage),28,7.543013699,8.254794521
14,10,Pastos naturalizados- pastoreo,60,5,6
15,13,Pennisetum purpureum - forage,15,9.880848,11
16,14,Pennisetum purpureum - silage,19.5,7.5,6.5
17,15,Sorgo (Sorghum bicolor) - rastrojo,85,7.033824,4.9
18,15,Sugarcane (Saccharum officinarum) - forage,23.2,9,4.3
19,16,Tithonia diversifolia (forage),19.8,9.9,21.2
