feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content
1,1,Andropogon gayanus (forage),27.8,7.1,6.254794521
2,34,Banana (fruit),22,12.3,5.2
3,34,Banana leaves,16,10,9.5
4,21,Barley (forage),34,8.69,4.5
5,23,Barley (grains) IP,87.1,12.4,11.8
6,22,Barley (grains) OFC,87.1,12.4,11.8
7,22,Barley (straw),87,5.88,0.3
8,11,Bermuda grass (Cynodon dactylon) - forage,30.3,9.671508,12.6
9,11,Bermuda grass (Cynodon dactylon) - hay,93,7.410636,7.6
10,50,Berseem clover,11,12.39,26
11,5,Brachiaria brizantha (forage),26,7.254794521,7.254794521
12,6,Brachiaria hybrid (forage),26,7.254794521,8.254794521
13,7,Canavalia brasiliensis (forage),30,12.1,22
14,8,Cassava (Manihot esculenta) - crop residue,16.1,10.006452,19.94
15,8,Cassava (Manihot esculenta) - fresh peelings,27.9,4.3124,5.45
16,8,Cassava (Manihot esculenta) - tubers,88.84,10.76,1.81
17,43,Concentrate (commercial),90,12.1,16
18,9,Cowpea (Vigna unguiculata) - crop residue,90,9.880848,18.4
19,9,Cowpea (Vigna unguiculata) - forage,12.28,10.45,20.56
20,9,Cowpea (Vigna unguiculata) - grain,89.83,13.21,23.88
21,9,Cowpea (Vigna unguiculata) - meal,90.17,14,22.53
22,10,Cratylia argentea (forage),30,9.4,24
23,11,Cynodon nlemfuensis (forage),30.3,9.671508,12.6
24,12,Dichanthium aristatum (forage),33,7.25,8
25,49,Digitaria swazilandensis (forage),24,9.7,9.9
26,54,Fava bean (grain),86.6,13.3,29
27,54,Fava bean (straw),89.7,6.4,7.4
28,15,Gliricidia sepium (forage),30,11.5,22.3
29,17,Groundnut (Arachis hypogaea) - crop residue,89.53,7.99,6.52
30,17,Groundnut (Arachis hypogaea) - Kernel,92.7,21.1852,33.2
31,17,Groundnut (Arachis hypogaea) - seed hulls,93.12,6.56,16.29
32,19,Guazuma ulmifolia (forage),30,11,15
33,24,Hyparrhenia rufa  (forage),26,6.129315068,6
34,25,Ischaemum ciliare  (forage),24,6.003835616,6
35,28,Italian ryegrass (forage),19,8.7,7
36,28,Italian ryegrass (hay),85,8.36,6.01
37,28,Italian ryegrass (silage),33.5,9.07,5.3
38,26,Lablab (Lablab purpureus) - forage,18.3,11.43,22.94
39,26,Lablab (Lablab purpureus) - hay,90,9.29,16.6
40,26,Lablab (Lablab purpureus) - silage,27.83,7.44,17.51
41,27,Leucaena (Leucaena leucocephala) - forage,26.2,9.5,19.93
42,32,Lucerne (Medicago sativa) - forage,21,10.08,19.7
43,32,Lucerne (Medicago sativa) - hay,85,8.36,12.5
44,32,Lucerne (Medicago sativa) - silage,44.1,9.545904,19.5
45,57,Lupins (Lupinus angustifolius) - crop residue,93.85,5.57,6.44
46,57,Lupins (Lupinus angustifolius) - grain,90,19,30
47,57,Lupins (Lupinus angustifolius) - pods,91.89,7.36,5.54
48,43,Maize (Zea mays) - bought stover,87,9.127224,5.9
49,29,Maize (Zea mays) - cobs ground,90.1,7.578108,2.8
50,30,Maize (Zea mays) - cracked grains IP,89,13.020948,10
51,29,Maize (Zea mays) - forage,82,10.215792,8.9
52,31,Maize (Zea mays) - silage,30,10.79,4.4
53,29,Maize (Zea mays) - stover,87,9.127224,5.9
54,29,Maize (Zea mays) - whole grain,90,15,9
55,33,Moringa oleifera (forage),26.2,10.6,24.3
56,58,Mucuna (Mucuna pruriens) - forage,20.967,10.8,15.77
57,58,Mucuna (Mucuna pruriens) - green fodder,20.967,10.8,15.77
58,58,Mucuna (Mucuna pruriens) - hay,90.6,10.89,14.8
59,58,Mucuna (Mucuna pruriens) - seed,92.37,14.193,27.3
60,59,Mulberry (Morus alba),28.4,10,19.4
61,35,N/A,0,0,0
62,36,Naturally occuring pasture - grazing,60,5,6
63,36,Naturally occuring pasture - grazing OFR,60,5,6
64,36,Naturally occuring pasture - green fodder,60,5,6
