feed_item_code,crop_code,feed_item_name,dm_content,me_content,cp_content
1,1,Banana (Musa acuminata)-crop residue,9,8.66,9.5
2,2,Brachiaria hybrid (forage),94.08,7.24,9.44
3,10,Concentrate (commercial),90,12.1,16
4,3,Greenleaf desmodium (Desmodium intortum) - forage,93.45,6.83,12.5
5,4,Groundnut (Arachis hypogaea) - crop residue,89.83,8.4,14.5
6,5,Guatemala (Tripsacum andersonii) - forage,94.05,7.1,11.32
7,6,Lablab (Lablab purpureus) - forage,93.35,7.28,13.24
8,7,Maize (Zea mays) - stover,87,6.9,3.9
9,8,Naturally occuring pasture - green fodder,29.65,6.17,6.1
10,9,Pennisetum purpureum - forage,94.13,6.63,7.78
11,11,Rhodes grass (Chloris gayana) - forage,93.97,6.65,8.01
