crop_code,crop_name,dry_yield,residue_dry_yield,main_n,residue_n,c_factor,kc_initial,kc_midseason,kc_late,category,trees_ha,trees_dhb,trees_growth,trees_removal,trees_ha_dbh25,average_dbh25,increase_dbh25,trees_ha_dbh2550,average_dbh2550,increase_dbh2550,trees_ha_dbh50,average_dbh50,increase_dbh50,time_horizon,diameter_breast
1,Avena sativa,0.352,2.64,0.0176,0,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Avena sativa-fourrage,4,0,0.016,0,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Beta vulgaris,10.45,2.75,0.0125,0.0125,0.15,0.72,1.04,0.7,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Brachiaria hybrid,13.76438356,0,0.0224,0.02,0.01,0.6,1.1,1.05,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Cactus,10,1.5,0.02,0.01,0.15,0.15,1.15,0.5,shrub legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Colza,3.1045,2.4836,0.064,0,0.15,0.15,1.15,0.6,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Feed carrot,9,7,0.01,0.01,0.15,0.72,1.04,0.7,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Fustuca arundinacea,12.6,0,0.014,0.01,0.15,0.3,0.75,0.75,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Glycine max IP,3.1045,2.4836,0.064,0,0.15,0.15,1.15,0.6,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Hedysarum coronarium,5,0,0.032,0,0.15,0.15,1.1,0.25,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Hordeum vulgare-forage,6.8,0,0.0072,0,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Hordeum vulgare-grain IP,4.35,1.584,0.01888,0,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Hordeum vulgare-grain OFC,1.7,1.584,0.01888,0,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Lolium multiflorum,10,0,0.012,0,0.15,0.3,0.75,0.75,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Medicago sativa,10,0,0.032,0,0.15,0.15,1.1,0,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Olive,0,0,0.005,0.01,0.05,0.3,0.75,0.75,tree crop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Panicum maximum,17.01917808,0,0.0192,0,0.01,0.6,1.1,1.05,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Pâturage naturel,10,0,0.01,0,0.01,0.3,0.75,0.75,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Pâturage naturel OF,10,0,0.01,0,0.01,0.3,0.75,0.75,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Pennisetum purpureum,6,0,0.023,0,0.01,0.6,1.1,1.05,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Pennisetum purpureum-silage,6,0,0.01,0,0.01,0.6,1.1,1.05,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Purchased,0,0,0,0,0,0,0,0,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Sorghum bicolor-forage/silage,13.5,0,0.006,0,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Sorghum bicolor-grain,3.999,8.7892,0.02,0.01,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Stipa tenacissima,1.74,0,0.01,0,0.01,0.3,0.75,0.75,grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Tomato,23,2.75,0.0125,0.0125,0.15,0.72,1.04,0.7,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Trifolium alexandrinum,4.95,0,0.0416,0,0.15,0.15,1.1,0.25,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Triticum,1.566,2.002,0.0202,0.01,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Triticum IP,2,0.4,0.0202,0.03,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Triticum OF,2,0.4,0.0202,0.03,0.15,0.1,1.1,0.55,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Vicia faba-grain,1.74,1.8,0.046,0.01,0.15,0.15,1.1,0.25,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Vigna unguiculata,0.85405,2.967413131,0.038,0.02,0.15,0.15,1.05,0.6,legume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Zea mays,8.6,3,0.017,0.01,0.15,0.15,1.15,0.3,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Zea mays IP,8.6,3,0.017,0.01,0.15,0.15,1.15,0.3,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Zea mays-forage,1.064,1.344259298,0.017,0,0.15,0.15,1.15,0.3,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Zea mays-silage,18,0,0.007,0,0.15,0.15,1.15,0.3,cereal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
