"manureman_code","manureman_desc"
"pasture","Pasture / range / paddock"
"storage","Solid storage"
"drylot","Dry lot"
"Uncovered anaerobic lagoon
","Uncovered anaerobic lagoon"
"Liquid/Slurry Pit below animals 1 Month
","Liquid/Slurry Pit below animals 1 Month"
"Liquid/Slurry Pit below animals 3 Month","Liquid/Slurry Pit below animals 3 Month"
"Liquid/Slurry Pit below animals 4 Month","Liquid/Slurry Pit below animals 4 Month"
"Liquid/Slurry Pit below animals 6 Month
","Liquid/Slurry Pit below animals 6 Month"
"Liquid/Slurry Pit below animals 12 Month","Liquid/Slurry Pit below animals 12 Month"
"Cattle and swine deep bedding < 1 month","Cattle and swine deep bedding < 1 month"
"Cattle and swine deep bedding > 1 month
","Cattle and swine deep bedding > 1 month"
"Solid storage","Solid storage"
"Solid storage - Covered/compacted
","Solid storage - Covered/compacted"
"Solid storage - Bulking agent addition","Solid storage - Bulking agent addition"
"Solid storage - Additives","Solid storage - Additives"
"Daily spread","Daily spread"
"Composting - In-vessel","Composting - In-vessel"
"Composting - Static pile (forced aeration)","Composting - Static pile (forced aeration)"
"Composting - Intensive windrow","Composting - Intensive windrow"
"Composting - Unfrequent turning","Composting - Unfrequent turning"
"Pasture/Range/Paddock","Pasture/Range/Paddock"
"Poultry manure with and without litter","Poultry manure with and without litter"
"Aerobic treatment","Aerobic treatment"
"Burned for fuel","Burned for fuel"
"Anaer digester, Low leak, HQ stor, HQ tec.","Anaer digester, Low leak, HQ stor, HQ tec."
"Anaer digester, Low leak, HQ stor, LQ tec","Anaer digester, Low leak, HQ stor, LQ tec"
"Anaer digester, Low leak, open stor, HQ tec","Anaer digester, Low leak, open stor, HQ tec"
"Anaer digester, High leak, open stor, HQ tec","Anaer digester, High leak, open stor, HQ tec"
"Anaer digester, High leak, LQ stor, LQ tec","Anaer digester, High leak, LQ stor, LQ tec"
"Anaer digester, High leak, open stor, LQ tec","Anaer digester, High leak, open stor, LQ tec"
