"livetype_code","livetype_desc","body_weight","litter_size","lactation_length","proportion_growth_piglets_milk","lw_gain_piglets","cp_maintenance","cp_lys_pregnancy","cp_lactmilk","cp_lys_growth","birth_interval","protein_milkcontent","fat_milkcontent","energy_milkcontent","energy_meatcontent","protein_meatcontent","carcass_fraction","n_manure_content","meat_product","milk_product","ipcc_meth_ef_t1","ipcc_meth_ef_t2","ipcc_meth_man","ipcc_meth_exc"
1,"Cattle - Cows (local)",350,0,0,0,0,0.35,9.64,0.09,0,1.5,3.2,5.8,970,2200,26,0,0.029,"beef","cow milk","Other mature female","Dairy cows","Dairy cows","Dairy cattle"
2,"Cattle - Cows (improved)",600,0,0,0,0,0.6,12.21,0.09,0,1.16666666666667,3.7,4.3,970,2200,26,0.48,0.029,"beef","cow milk","Dairy cattle","Dairy cows","Dairy cows","Dairy cattle"
3,"Cattle - Cows (high productive)",600,0,0,0,0,0.6,15,0.09,0,1.16666666666667,3.7,4,970,2200,26,0.45,0.029,"beef","cow milk","Dairy cattle","Dairy cows","Dairy cows","Dairy cattle"
4,"Cattle - Adult male",580,0,0,0,0,0.58,0,0,0,0,0,0,0,2200,26,0.48,0.029,"beef","cow milk","Other draft bull","Non-dairy","Other cattle","Other cattle"
5,"Cattle - Steers/heifers",200,0,0,0,0,0.2,0,0,0.4,0,0,0,0,2200,26,0.48,0.029,"beef","cow milk","Other mature female-grazing","Non-dairy","Other cattle","Other cattle"
6,"Cattle - Steers/heifers (improved)",300,0,0,0,0,0.3,0,0,0.4,0,0,0,0,2200,26,0.49,0.029,"beef","cow milk","Other mature female-grazing","Non-dairy","Other cattle","Other cattle"
7,"Cattle - Calves",90,0,0,0,0,0.09,0,0,0.4,0,0,0,0,2200,26,0.49,0.029,"beef","cow milk","Other young","Non-dairy","Other cattle","Other cattle"
8,"Cattle - Calves (improved)",90,0,0,0,0,0.09,0,0,0.4,0,0,0,0,2200,26,0.52,0.029,"beef","cow milk","Other young","Non-dairy","Other cattle","Other cattle"
9,"Buffalo - Cows",450,0,0,0,0,0.45,9.64,0.09,0,1.2,3.7,4.3,970,2200,26,0,0.029,"buffalo","buffalo milk","Other mature female-grazing","Dairy cows","Dairy cows","Dairy cattle"
10,"Buffalo - Steers/heifers",270,0,0,0,0,0.27,0,0,0.4,0,0,0,0,2200,26,0.58,0.029,"buffalo","buffalo milk","Other young","Non-dairy","Other cattle","Other cattle"
11,"Buffalo - Calves",110,0,0,0,0,0.11,0,0,0.4,0,0,0,0,2200,26,0.58,0.029,"buffalo","buffalo milk","Other young","Non-dairy","Other cattle","Other cattle"
12,"Sheep - Ewes",53,0,60,0,0,0.106,8.374,0.09,0,1,3.2,5.8,970,2200,25,0.5,0.027,"mutton","sheep milk","Goats","Sheep","Sheep","Sheep"
13,"Sheep - Breeding Rams",30,0,0,0,0,0.06,0,0,0.45,0,0,0,0,0,0,0,0,"mutton","sheep milk","Goats","Sheep","Sheep","Sheep"
14,"Sheep - Fattening Rams",20,0,0,0,0,0.04,0,0,0.45,0,0,0,0,0,0,0,0,"mutton","sheep milk","Goats","Sheep","Sheep","Sheep"
15,"Sheep - Lambs",15,0,0,0,0,0.03,0,0,0.45,0,3.2,5.8,970,2200,25,0.5,0.029,"mutton","sheep milk","Goats","Sheep","Sheep","Sheep"
16,"Goats - Does",53,0,60,0,0,0.106,8.374,0.09,0,1,3.2,5.8,970,2200,25,0.5,0.027,"goat","goat milk","Goats","Goats","Sheep","Sheep"
17,"Goats - Breeding Bucks",30,0,0,0,0,0.06,0,0,0.45,0,0,0,0,0,0,0,0,"goat","goat milk","Goats","Goats","Sheep","Sheep"
18,"Goats - Fattening Bucks",20,0,0,0,0,0.04,0,0,0.45,0,0,0,0,0,0,0,0,"goat","goat milk","Goats","Goats","Sheep","Sheep"
19,"Goats - Kids",15,0,0,0,0,0.03,0,0,0.45,0,3.2,5.8,970,2200,25,0.5,0.029,"goat","goat milk","Goats","Goats","Sheep","Sheep"
20,"Pigs - lactating/pregnant sows",200,10,21,60,0.2,0.0297824570228919,0.33396,0,0,0.5,0,0,0,2580,21,0,0.04,"pork","N/A","Pigs","N/A","Swine","Pigs"
21,"Pigs - dry sows/boars",200,0,0,0,0,0.0297824570228919,0,0,0,0,0,0,0,2580,21,0,0.04,"pork","N/A","Pigs","N/A","Swine","Pigs"
22,"Pigs - growers",80,0,0,0,0,0.0149797828314718,0,0,0.05,0,0,0,0,2580,21,0.6,0.04,"pork","N/A","Pigs","N/A","Swine","Pigs"
